Category,Name,Geo,Info,SourceLink
places,Воробьёвы горы,"ул. Косыгина, 28","Воробьёвы горы - это большой парк на склоне, в излучине вдоль берега Москвы-реки. Его территория - 137,5 га. В 1987 году Воробьёвы горы стали памятником природы, с 1998 года это - государственный природный заказник, созданный с целью сохранения историко-культурной и природной среды, широколиственного леса, находящегося в непосредственной близости от центра города. В 2013 году заказник Воробьёвы горы включён в составЦПКиО им. Горького.
На востоке территория Воробьёвых гор начинается от Новоандреевских железнодорожного и автодорожного мостов через Москву-реку. С юга и с запада территория Воробьёвых гор ограничена местностью, прилегающей к улице Косыгина. На севере границей Воробьёвых гор служит устье реки Сетунь.
Воробьёвы горы представляют собой отрог Теплостанской возвышенности, поднимающийся над уровнем Москвы реки на 80 метров. На склоне к реке растут большие дубы, ясени, клёны, липы, берёзы, ольха, ива, травянистые растения широколиственных лесов. Здесь живут редкие для Москвы мелкие животные и птицы.
Территорию парка пересекает Лужнецкий (Лужниковский) метромост со станцией метро Воробьёвы горы (до 1999 года - Ленинские горы) на нём. Лужнецкий мост был открыт 12 января 1959 года. Из-за ошибок в проектировании и строительстве моста его пришлось полностью перестроить. Работы по перестройке моста закончились в 2002 году.
Своё название Воробьёвы горы получили от села Воробьёва, впервые упомянутого в 1453 году в завещании великой княгини Софьи Витовтовны. с 1473 года селом владел Иван III. С этого времени оно не выходило из великокняжеских рук. Через Воробьёво возвращался в Москву заболевший Василий III накануне своей смерти. Он провёл в селе несколько дней, въехал в город и на другой день, 3 декабря 1533 года, скончался. В Воробьёвском дворце пережидал грандиозный июньский пожар 1547 года Иван Грозный. Тогда сгорела примерно треть города.
В конце XVII века, в правление царевны Софьи, был построен новый Воробьёвский дворец длиной около 80 саженей (примерно 160 метров), деревянный на каменных фундаментах. Его сменил дворец архитектора И. Мичурина, построенный в 1732-1735 годах. В двух этажах дворца было около 250 больших и маленьких залов.
В 1776 году в Воробьёво был перенесён деревянный Пречистенский дворец Матвея Казакова. Он был построен как временный на Пречистенке в 1774-1776 годах. Дворец сгорел в 1812 году. После него дворцовое строительство в Воробьёве не возобновлялось. К началу ХХ века это было обычное для средней полосы село с церковью Троицы, построенной в 1811-1813 годах. Село дожило до 1956 года, когда и было разобрано. Рядом с новым зданием Университета ему не нашлось места. Сегодня о Воробьёве напоминает только название иТроицкая церковьна бровке над рекой.
12 октября 1817 года на Воробьёвых горах состоялась торжественная закладка Храма Христа Спасителя в память Отечественной войны 1812 года. Предполагалось, что будет построен храм высотой около 170 метров с лестницей к реке, с подземным храмом – криптой. Но из-за изменений взгляда на программу строительства и из-за сложности грунта в выбранном месте в 1826 году работы прекратили.
Немногие знают, что на Воробьёвых горах находится Воробьёвский резервуар московского водопровода. Это большое сооружение ёмкостью 170 000 кубометров воды построено в 1902 году архитектором М.К. Геппенером. Над резервуаром был возведён красивый павильон со смотровой площадкой и сквером. Во время пуска в работу и заполнения резервуара водой инженеры водопровода вылили туда бутылку шампанского, купленную в соседнем ресторане Крынкина, чтоб все москвичи отпраздновали это событие. Сегодня резервуар находится на территории Мосводоканала, доступа к его павильону нет.
Воробьёвы горы всегда использовались как место отдыха. Летом сюда приезжали на целый день, семьями, большими компаниями, со своими самоварами, продуктами, напитками. Зимой здесь катались на лыжах. Продолжением этой дореволюционной традиции стало строительство в 1953 году лыжного трамплина. Около трамплина устроен горнолыжный спуск и действует кресельный подъёмник.
В 1948 году на площадке, отстоящей от бровки Воробьёвых гор на 850 метров, на надёжном грунте, начались работы по строительствуМосковского Университета. Здание высотой 182 метра, а со шпилем – 240 метров, строилось по проекту группы архитекторов во главе с Л.В. Рудневым. 1 сентября 1953 года Университет – храм науки был открыт. От Университета до бровки холма, на которой расположилась смотровая площадка, разбит широкий бульвар с цветниками, фонтанами, чугунными фонарями и бюстами выдающихся учёных.
В конце 2014 года смотровая площадка Воробьёвых гор была реконструирована. На ней устроена интерактивная гранитная карта Москвы. Предполагается, что в 2015 году на Воробьёвых горах встанет памятник крестителю Руси князю Владимиру.",https://um.mos.ru/places/vorobyevy_gory/
places,Лефортовский парк,"Красноказарменная ул., 3","
Лефортовский парк – первый регулярный сад на территории современной Москвы. Появившись в окрестностях Немецкой слободы после возвращения Петра I из Европы, сад стал предшественником многих парков Санкт-Петербурга. Впервые он упоминается в 1703 г. как часть загородной усадьбы Ф.А. Головина. Этот дворцово-парковый ансамбль был популярным местом проведения придворных церемоний, и москвичи прозвали его «Версалем на Яузе». Парк неоднократно менял название. Сегодня Лефортовский парк лишь отчасти сохраняет первоначальную планировку и замысел.
Лефортовский парк занял пустующий берег Яузы между Солдатской слободой с одной стороны и Немецкой с другой. Еще в самом конце XVII в. Петр I поручил своему другу швейцарцу Францу Лефорту организацию солдатского поселения на левом берегу Яузы напротив Немецкой слободы. В честь него весь район сегодня называется «Лефортово».
Федор Головин купил участок земли под свою усадьбу в 1701 г. у вдовы иноземца. За считанные месяцы здесь появилась дворцовая резиденция европейского типа – прообраз будущих ансамблей Петербурга. По указанию Головина был построен деревянный дворец, хоромы для приемов, Успенская церковь, разбит регулярный сад. Сам Петр I, останавливаясь здесь во время своих приездов в Москву, мечтал однажды «… ехать водой из Петербурга и в Головинском саду при реке Яузе в Москве встать». В память об этом желании в парке установлена беседка-ротонда с памятником. Император выкупил эту усадьбу в казну в 1722 г. для размещения своего двора и проведения торжеств в честь коронации императрицы Екатерины I.
Поначалу планировка Головинского сада была исключительно прямоугольной, о чем свидетельствуют сохранившиеся гравюры. Зеленые насаждения и дорожки занимали верхнюю террасу берега, а на пойменной террасе был спроектирован каскад прудов. Исключение составлял Большой пруд для катания на лодках, что располагался правее дворца. Этот прямоугольный пруд в верхней части парка сохранился, в отличие от Головинского дворца – тот окончательно сгорел в 1753 г. И пруд, и дворец проектировал архитектор Д. Иванов.
По распоряжению Петра I в 1723 г. к благоустройству парка приступил голландец лейб-медик Николас Бидлоо. Он получил от государя наказ сделать увеселительный сад с водяными затеями на голландский манер. За короткое время Бидлоо удалось провести большие земляные работы: изменить течение ручьев и заполнить многочисленные пруды и фонтаны, расчистить и выровнять площадку для симметричных дорожек. Уже после смерти Петра при поддержке Екатерины ему удалось частично воплотить свой замысел в виде большого каскада прудов с плотиной Крестового пруда. Скульптуры, украшавшие сад, беседка на острове и некоторые другие затеи, сооруженные по указанию Бидлоо, не дошли до наших дней.
После смерти Петра I в Лефортовской резиденции проводились заседания Верховного тайного совета, находился двор императора Петра II, состоялись торжества по случаю коронации императрицы Анны Иоанновны. С ее именем связан следующий этап в истории парка. С этого времени Лефортово стало главной императорской резиденцией в окрестностях Москвы и было переименовано в «Анненгоф» на немецкий манер. По преданию, уже взрослые деревья по прихоти императрицы были привезены и высажены здесь всего за одну ночь, так появилась «Анненгофская роща». При Анне Иоанновне завершилось формирование парка в стиле барокко.
Для строительства обширного деревянного дворца Анна Иоанновна пригласила в 1730 г. молодого Ф.-Б. Растрелли, и тот возвел деревянный Летний Анненгоф. Для возможности постоянного проживания двора императрицы сюда в 1736 г. из Кремля перевезен деревянный дворец Зимний Анненгоф. Оба дворца по размерам превосходили головинский; по проекту их предполагалось окружить обширной парковой зоной. Прежний парк стал Нижним садом и дополнился Верхним, планировку которого разработал Ф. Растрелли, а его отец работал над скульптурами для украшения. Дворцы и каскад прудов объединялись с помощью центральной оси парка, перед дворцом был разбит партер. Из всех украшений парка эпохи Растрелли сохранился лишь грот, а обломки скульптур находили при расчистке прудов, русла Яузы и во время археологических раскопок.
Елизавета Петровнапосле коронации в 1742 г. вернула резиденции прежнее название – «Головинский сад» – и открыла его для прогулок москвичей. Появились новые деревянные строения: театр «Оперный дом», церковь Воскресения Христова и дворец по проекту И.К. Коробова и Ф.Б. Растрелли. После пожара 1757 г. дворцы Лефортова пришли в запустение.
Учитывая недолговечность деревянных построек, практичнаяЕкатерина IIзадумала построить в парке кирпичный дворец. Работы начались в 1773 г. и растянулись из-за низкого качества строительных материалов. Над проектом работали А. Ринальди,М. Казаков, К. Бланк и др. Оригинальной особенностью дворца является лоджия с каменной колоннадой по проектуД. Кваренги. Здание строилось 25 лет и было завершено в 1796 г., к исходу блистательного XVIII в.
После смерти Екатерины II в 1796 г. былое величие дворцов и ухоженность Лефортовского парка исчезли. Павел I отдал территорию парка и здание дворца под казармы. С 1824 г. во всех дворцовых постройках располагались кадетские корпуса, для которых переделывались и упрощались интерьеры. К началу XX в. парк зарос и одичал, а бывший дворцовый ансамбль всецело перешел в ведение военных. Особенно сильно эта местность пострадала во время урагана 1904 г., когда старые деревья были вырваны из земли с корнем силой ветра.
В советское время территория принадлежала дому офицеров Московского военного округа, выполняя функции парка культуры и отдыха. Планы по проведению автомобильной магистрали в Лефортове привели к массовому возмущению жителей и привлекли к парку внимание общества. Для его сохранения к 2003 г. был завершен Лефортовский тоннель – замыкающий фрагмент ТТК. С 2005 г. территорию Лефортовского парка включили в состав Московского государственного музея-заповедника. Здесь были проведены археологические работы и создан проект восстановления исторической планировки. Музей проводит обзорные и тематические экскурсии по парку, лекции и занятия с детьми по истории района «Лефортово».",https://um.mos.ru/places/lefortovskiy_park/
places,Большая Грузинская улица,Большая Грузинская улица,"Большая Грузинская расположена в Пресненском и Тверском районах столицы, между 1-й Тверской-Ямской и Баррикадной улицей.
Здесь, «в Грузинах», в районе нынешней Большой Грузинской, в начале XVIII столетия располагалась грузинская слобода. В качестве «живого напоминания» о временах, ушедших в вечность, осталась уникальная грузинская церковь, которую генерал-майор русской армии, царевич Георгией Вахтангович, основал в далеком 1750 году во имя своего святого покровителя – Георгия Победоносца. Первый храм был деревянным — в 1779 году здание сгорело. Новая святыня строилась из камня с 1788-1800 годы, здание сохранилось с западной стороны. Позже, в самом конце XIX века, грузинская церковь была полностью перестроена. Выпускник Московского училища живописи, ваяния и зодчества, архитектор Василий Георгиевич Сретенский, прославившийся строительством церковных зданий, заметно увеличил храм, придал ему вид и объем византийской базилики. В наши дни службы проходят на церковно-славянском и грузинском языках.
В двух шагах от «веками намоленного места» находится Музей-мастерская скульптора-монументалиста, мэтра живописи Зураба Церетели, который, помимо всего прочего, занимался воссозданием убранства Храма Христа Спасителя.
В самом начале Большой Грузинской улицы раскинулся Московский зоопарк, один из старейших в Европе. Он был открыт в феврале 1864 года, став первым зоосадом в стране. Местность, на которой в наше время находится «старая» территория зоопарка, когда-то была известна, как «Пресненские пруды»; здесь текла река Пресня, цвели сады и зеленели луга. Несколько лет назад завершилась реконструкция пешеходного моста через Большую Грузинскую улицу, соединяющего старую и новую части зоопарка. В 2024 году зоопарк, в котором содержится более 15 тысяч животных, в том числе редких и исчезающих, отпраздновал свое 160-летие.",https://um.mos.ru/places/bolshaya-gruzinskaya-ulica/
places,Трифоновская улица,Трифоновская улица,"Трифоновская улица расположена в Центральном и Северо-Восточном административных округах Москвы. Она проходит от улицы Образцова до проспекта Мира и фактически относится к двум районам города, протянувшись через Мещанский район, а после пересечения с улицей Советской Армии захватывает и район Марьиной Рощи. Ближайшие станции метро – «Рижская», «Марьина Роща» и «Достоевская». В 2025 году на Трифоновской улице планируют вновь запустить трамваи. Последний раз рельсовый транспорт курсировал здесь в 1995 году. Восстановленный участок позволит соединить Рижский вокзал с ключевыми локациями в центре столицы.
Трифоновская улица названа в честь одной из старейших святынь столицы – церкви Трифона в Напрудном. Храм, постройку которого некоторые исследователи относят к 1492 году, – «веками намоленное место», архитектурное сокровище древней Москвы. Первое письменное упоминание церкви в документах Патриаршего приказа датировано 1625 годом, при этом натурные обследования подтвердили, что строительство храма уходит корнями к XV столетию. На фасаде апсиды церкви сохранилась уникальная фреска конца XVI–начала XVII века, изображающая святого Трифона на коне с кречетом в руках. Бесценная реликвия ныне хранится в Третьяковской галерее.
Среди других примечательных зданий, расположенных неподалеку – на пересечении Олимпийского проспекта и Трифоновской улицы – Армянский храмовый комплекс, эффектно облицованным туфом. Кафедральный собор, открывшийся в 2013 году и рассчитанный примерно на тысячу прихожан, стал крупнейшим храмом армянской церкви за пределами Армении. С крестом его высота составляет 58 метров. Помимо Кафедрального Собора Преображения Господня и церкви Святого Креста, комплекс включает в себя резиденцию Католикоса, музей и гимназию.
",https://um.mos.ru/places/trifonovskaya-ulica/
places,Каток в саду имени Баумана,"улица Старая Басманная, улица Новая Басманная, 15","Открытый каток в саду имени Баумана так органично вписался в окружающее пространство, словно существовал на этом месте не одно столетие. Каток здесь появился в середине прошлого века и связано это с развитием фигурного катания. После Великой Отечественной войны советской школе фигурного катания, по объективным причинам, пришлось слегка «сбавить обороты». Однако уже спустя десятилетие один из самых красивых и зрелищных видов спорта вновь стал бурно развиваться в СССР, обретя «второе дыхание». В 1960-е годы на Олимпиаде в Инсбруке советские спортсмены Людмила Белоусова и Олег Протопопов взяли золото, продемонстрировав превосходство отечественной школы фигурного катания над всеми остальными мировыми игроками. В конце 1950-х годов в саду имени Баумана в свою очередь открылась школа фигурного катания. Сохранились архивные фотографии периода хрущёвской оттепели, на которых группа советских школьников младших классов, мальчиков и девочек, дружно водит новогодний хоровод на этом столичном катке. Черно-белый снимок 1959-1962 годов лучше тысячи слов запечатлел радость, волнение и волшебное ожидание новогоднего чуда.
Ухоженный каток, расположенный около исторической сцены «Ракушка», и сегодня дарит волнующее ощущение праздника. По-домашнему камерный и по-московски уютный, открытый каток с искусственным льдом за день может принять у себя до 1 тысячи гостей. Благодаря технологии искусственного замораживания льда, каток может работать при незначительной оттепели.
Здесь залит отменный лед, играет приятная музыка. Зимними вечерами, когда повсюду горят огни разноцветных гирлянд, на площадке царит особая атмосфера, проникнуться которой можно лишь прогулявшись по аллеям исторического сада. Вся территория является объектом культурного наследия — памятником садово-паркового искусства регионального значения. Общая площадь катка составляет 1 тысячу квадратных метров. Сюда приходят целыми семьями, вместе с друзьями и близкими, не только покататься, но и пообщаться, поговорить по душам. Это удивительное, напитанное историей место, притягивает единомышленников словно магнит.
Катки – стародавняя московская традиция, передающаяся из поколения в поколение, почти как любовь к семейным застольям и чаепитию. Жители столицы впервые встали на коньки в XIX столетии. В 1860-х годах на Петровке появилась первая в Москве общественная ледовая площадка, на которой любой желающий, от мала до велика, мог всласть покататься на коньках. В России коньки, названные так потому, что их передняя часть украшалась резной головой коня, появились благодаря первому российскому императору, Петру I. Последний русский царь, освоивший за свою жизнь немало различных ремесел, однажды оказался в Голландии по корабельным делам, а заодно и всерьез увлекся катанием по льду. В то время коньки просто привязывали к обуви веревками и ремешками. Государю, человеку практичному и находчивому, этот способ показался крайне неудобным и излишне хлопотным. Нехитрое дело: Петр I взялся усовершенствовать коньки, прибив полозья непосредственно к подошве.
Насыщенная на события история сада зародилась в конце XVIII века, когда князь Михаил Голицын, соратник царя Петра I, даровал Москве часть своей усадьбы, располагавшейся по улице Старая Басманная. В начале XXстолетия к «Публичному городскому саду на Басманной» были присоединены парки соседних усадеб Чулковых-Ростопчиных и Левашовых. В своих нынешних границах сад предстал в 1920 году, уже под названием «Сад имени 1-го мая». К нему также была присоединена территория усадьбы племянника художника Ивана Шишкина, золотопромышленника и мецената Николая Стахеева. В 1922 году сад был переименован в честь революционера Николая Баумана исключительно из-за близости расположения к улице Бауманская, памятник Н.Э. Бауману был установлен в 1972 году, сейчас его можно найти на основной аллее сада. В наши дни в саду, как и прежде, работает «винтажная» концертная эстрада «Ракушка», построенная еще в 1920-1930-х годах. На легендарной сцене когда-то выступали мэтры – Леонид Утесов и Клавдия Шульженко. В старинном московском саду, расположенном между Старой и Новой Басманными улицами, сохранились не только уникальные исторические строения, но и аура «старой Москвы».
Еще одним местом притяжения в саду имени Баумана в течение многих лет остается знаменитый каменный грот «Бельведер», построенный более 100 лет назад. В то время на этой территории находилось владение золотопромышленника и чаеторговца, купца Стахеева. «Бельведер» является признанным объектом культурного наследия федерального значения. Каменная кладка многоуровневого грота искусно имитирует природную пещеру. Историческая постройка расположена в южной части сада, у подножия небольшого холма, на вершине которого разместилась смотровая площадка. Отсюда в любое время года можно любоваться красотой природы и изяществом московской архитектуры.",https://um.mos.ru/places/katok-v-sadu-imeni-baumana/
places,Красная площадь,Красная площадь,"В конце XV века на вершине холма у новых кирпичных стен Кремля, построенных на месте белокаменных, начавших разрушаться, появилась площадь. Образованию ее способствовал указ Ивана III, запрещающий всякое строительство на расстоянии пушечного выстрела (примерно 240 метров) от стен.
Территорию, ранее бывшую посадом, спешно освободили от домов и прочих деревянных строений, разрешили здесь только торговать. Постепенно вся площадь стала называться Торгом или Великим Торгом.
Удобство торговли определилось самим местом. С юга площадь ограничена слиянием двух рек — Москвы и Неглинки. На берегах Москвы-реки располагались пристани, откуда на Торг доставлялись товары. В 1508 году вдоль Кремлевской стены был прорыт Алевизов ров, который соединил реки Москву и Неглинную. Ров носил оборонительную функцию и был достаточно глубок: в некоторых местах до 12,8 метров. Таким образом, Кремль, как и большинство крепостей того времени, оказался со всех сторон окружен водой. Постепенно к воротам Кремля были построены мосты, а сам ров был окружен каменными зубчатыми стенами.
Кремлевские стены изменялись с течением лет и изменяли общее впечатление от Красной площади. Так, в 1491 году под руководством архитектора Пьетро Антонио Солари была(Спасская) башня. Спасские ворота со временем приобрели особый статус и в XXI веке, как и в XVI, через них осуществляется торжественный выход высокопоставленных лиц во время различных церемоний.
Площадь неоднократно меняла название, а порой бытовали одновременно два-три названия в зависимости от значимости событий, связанных с этим местом. Некоторое время площадь называли Троицкой по посвящению собора, который, вероятно, стоял на месте собора Покрова что на Рву. В 1571 году после большого пожара, площадь стали называть Пожаром, а на самой площади запретили строить деревянные лавки. К 1598 году вместо деревянных лавок были построены двухэтажные каменные лавки, образовавшие три квартала: Верхние, Средние и Нижние торговые ряды.
Именно в этот период площадь стали называть Красной, то есть красивой (некоторые историки полагают, что название произошло от «красного», то есть галантерейного, товара, которым здесь торговали). Это название стало официальным после указа царя Алексея Михайловича, и стало фигурировать во всех документах начиная с 1661 года.
Самым древним сохранившимся до сих пор сооружением площади является Лобное место. С юга она была ограничена невысоким холмом — «взлобьем», на котором и появилось Лобное место.  Впервые Лобное место упоминается в документах 1547 года. Изначально помост на Лобном месте был выполнен из кирпича, имел деревянную решетку, а также навес и шатер на столбах. В 1597-1598 годах помост был перестроен в камне.
Одной из главных доминант площади является знаменитый соборПокрова что на Рву, который зачастую ошибочно называют собором Василия Блаженного. Уникальный памятник архитектуры середины XVI века был обетным храмом, то есть возведён он был по обещанию Ивана IV в случае удачи в ходе очередного похода на Казанское ханство. Ключевое и победное для армии молодого царя сражение произошло в день празднования Покрова Пресвятой Богородицы, поэтому и храм стал Покровским. Позднее к нему пристроили церковь во имя почитаемого московского святого Василия Блаженного, и в народе прижилось название «храм Василия Блаженного», Храм не раз достраивали, меняли купола, переносили сюда пределы обветшавших старых церквей. В XX веке, по легенде, ему грозил снос, но памятник русского зодчества удалось отстоять, поэтому и сейчас он ограничивает Красную площадь с юга, являясь едва ли не главным её символом.
В 1620-1630 годах у Воскресенских ворот на Никольской улице в честь освобождения Москвы от поляков был построенКазанский собор. А сами двухпролетные Воскресенские ворота стали выполнять роль парадного въезда на Красную площадь. Возле них были размещены здания Монетного двора и Главной аптеки с башней. У Никольских ворот располагалась деревянная «Комедиальная храмина», разобранная в 1722 году.
Ко дню празднования Полтавской победы в 1709 году возле Казанского собора были сооружены деревянные Триумфальные ворота, а в 1730 был построен по проекту русского архитектора Варфоломея Варфоломеевича Растрелли новый театр, тоже деревянный. Так, постепенно площадь утратила чисто торговое значение.
В XVIII веке площадь была центром культурной жизни Москвы. Здесь у Спасских ворот шла книжная торговля, действовала первая публичная библиотека. К 1755 году архитектор Дмитрий Васильевич Ухтомский перестроил Главную аптеку для размещения в ней Московского университета. В 1786-1810 годах были перестроены каменные лавки и возведены Новые Торговые ряды. Двухэтажная аркада охватила почти весь периметр площади.
Массовая перестройка Красной площади затронула и Лобное место. В 1786 году его сместили несколько восточнее и перестроили по проекту Матвея Казакова из дикого тесанного камня.
Существует расхожее мнение, что назначением Лобного места были публичные казни. На самом деле «взлобье» считалось святым. Чаще всего Лобное место служило площадкой, с которой архиерей осенял народ крестным знамением во время крестного хода. Нередко в документах встречается его другое название «Царево место», царская кафедра. В допетровские времена отсюда объявлялись народу важнейшие царские указы.
Первоначально площадь была земляной, без мощения, что делало её чрезвычайно грязной особенно в непогоду и межсезонье. В XVIII-XIX веках площадь уже на регулярной основе имеет каменное покрытие, но крайне несовершенное: технологии укладки ещё не отработаны, камни используются разного качества и размера, поэтому покрытие было неоднородным и местами неудобным для передвижения, к тому же приходится обновлять почти каждый год. С 1909 по 1930 год по Красной площади ходил трамвай, что сегодня нам сложно представить. Там располагалась резервная ветка, которая проходила вдоль Кремлевской стены.
Радикальные изменения произошли в 1930-х годах, когда советское правительство приступило к масштабной реконструкции Красной площади. В это время площадь приобрела свой современный вид, а также была полностью покрыта гранитной брусчаткой. В 1974 году площадь ещё раз пережила реконструкцию покрытия: брусчатку из сверхпрочной магматической горной породы габбро уложили на бетонное основание. Гранитные плиты были тщательно подогнаны друг к другу, чтобы создать ровную и устойчивую поверхность. Гранитная брусчатка оказалась способной выдерживать большие нагрузки, включая тяжёлую военную технику.
Современный облик площади – это не только брусчатка. Он стал отражением различных событий, происходивших в стране.
В 1818 году скульптор Иван Мартос представил проектпамятника Минину и Пожарскому– руководителям Второго народного ополчения, сформированного в 1612 году для изгнания занявших Москву польских войск. Памятник установили в центральной части площади, где он находился до 1936 года. По проекту скульптора Минин символически указывал на занятый вражескими войсками Кремль, который было призвано освободить народное ополчение. Возведение в 1920-х годах Мавзолея нарушило архитектурную композицию, кроме того, памятник мешал проведению демонстраций и военных парадов, регулярно проводившихся на площади. В результате было принято решение оставить памятник на площади, но перенести его на новое место: теперь он находится в непосредственной близости от Покровского собора, замыкая новую архитектурную композицию площади.
На севере Красной площади расположенГосударственный исторический музей. Он был основан по указу императора Александра II 21 февраля 1872 года. Сейчас здание музея, спроектированное архитектором Владимиром  Шервудом и инженером Анатолием Семёновым, относится к особо ценным объектам культурного наследия страны. А в 29 залах музея представлена российская история от древности до начала XX века. Cегодня Государственный исторический музей — один из крупнейших музеев мира. Здесь хранятся бесценные памятники археологии, нумизматики, древней книжности, оружие, произведения изобразительного и декоративно–прикладного искусства.
У Кремлевской стены находится мемориальное кладбище – некрополь. Это место погребения государственных, партийных и военных деятелей советского государства, знаменитых революционеров XX-го столетия, а также выдающихся деятелей культуры и науки, например, Максима Горького и Юрия Гагарина.
Ещё одна важная достопримечательность, расположенная на Красной площади, - это Мавзолей Владимира Ильича Ленина. В 1924-м году, сразу после кончины вождя, была возведена временная деревянная усыпальница, в мае её разобрали и соорудили на площади деревянную постоянную конструкцию. К 1930-му году был возведён Мавзолей из гранита по проекту архитектора Алексея Викторовича Щусева. Особая конструкция Мавзолея предполагает наличие правительственной трибуны. В начале Великой Отечественной войны исторический центр Москвы и наиболее ценные архитектурные объекты были тщательно замаскированы. Мавзолей был закрыт сверху полотняным макетом рядового дома. 7 ноября 1941 года перед Мавзолеем, освобожденным от маскировки и превращенным в правительственную трибуну, прошел исторический военный парад.
В 1924 году в состав Красной площади была включена Васильевская площадь, с 1995 годау носящая название Васильевский спуск.
История парадов на Красной площади насчитывает несколько столей, однако регулярными военные парады и демонстрации стали при советской власти. Самые знаменитые парады связаны с Великой Отечественной войной: отсюда 7 ноября 1941 года советские солдаты уходили на фронт. А 24 июня 1945 года на Красной площади прошел Парад Победы, со временем парады 9 мая стали проводиться ежегодно.
В 1990 году комплекс Московского Кремля и Красная площадь были включены в список Всемирного наследия ЮНЕСКО.",https://um.mos.ru/places/krasnaya_ploshchad/
