Name,Link
Фреска «Народное гуляние в Киеве» на станции метро «Киевская»,https://um.mos.ru/houses/freska-narodnoe-gulyanie-v-kieve-na-stancii-metro-kievskaya/
Театр на Малой Ордынке,https://um.mos.ru/houses/teatr-na-maloy-ordynke/
Павильон станции метро «Красные ворота»,https://um.mos.ru/houses/pavilon_stantsii_metro_krasnye_vorota/
Дом Перцова,https://um.mos.ru/houses/dom_pertsova/
Особняк Рябушинского,https://um.mos.ru/houses/osobnyak_ryabushinskogo/
Дом Пашкова,https://um.mos.ru/houses/dom_pashkova/
«Рабочий и колхозница»,https://um.mos.ru/houses/rabochiy-i-kolkhoznitsa/
Большой театр,https://um.mos.ru/houses/bolshoy_teatr/
Дом Арсения Морозова,https://um.mos.ru/houses/dom_arseniya_morozova/
Особняк Зинаиды Морозовой,https://um.mos.ru/houses/osobnyak-zinaidy-morozovoy/
Дом Стахеева,https://um.mos.ru/houses/dom_stakheeva/
Дом со зверями,https://um.mos.ru/houses/dom_so_zveryami/
Высотка на Котельнической набережной,https://um.mos.ru/houses/vysotka-na-kotelnicheskoy-naberezhnoy/
«Дом  под юбкой»,https://um.mos.ru/houses/dom_pod_yubkoy/
Типография (скоропечатня) А. А. Левенсона,https://um.mos.ru/houses/skoropechatnya_levensona/
Высотка на Кудринской площади,https://um.mos.ru/houses/vysotka_na_kudrinskoy_ploshchadi/
Петровский путевой дворец,https://um.mos.ru/houses/petrovskiy_putevoy_dvorets/
Саввинское подворье,https://um.mos.ru/houses/savvinskoe_podvore/
Особняк А.И. Кекушевой,https://um.mos.ru/houses/osobnyak-a-i-kekushevoy/
Дом Нирнзее,https://um.mos.ru/houses/dom_nirnzee/
Усадьба А. В. Морозова,https://um.mos.ru/houses/usadba-a-v-morozova/
"Театральный центр на Дубровке (Театр на Мельникова, с 2023 года)",https://um.mos.ru/houses/teatralnyy_tsentr_na_dubrovke/
Усадьба Грачевка (Ховрино),https://um.mos.ru/houses/usadba_grachevka_khovrino/
