Name,Link
Памятник Минину и Пожарскому,https://um.mos.ru/monuments/pamyatnik-mininu-i-pozharskomu/
Фонтан Искусств,https://um.mos.ru/monuments/fontan-iskusstv/
Дети - жертвы пороков взрослых,https://um.mos.ru/monuments/deti-zhertvy-porokov-vzroslykh/
Памятник А.С. Пушкину,https://um.mos.ru/monuments/pamyatnik-a-s-pushkinu/
Памятник Юрию Долгорукому,https://um.mos.ru/monuments/pamyatnik-yuriyu-dolgorukomu/
Царь-колокол,https://um.mos.ru/monuments/tsar-kolokol/
Памятник маршалу Жукову Г.К.,https://um.mos.ru/monuments/pamyatnik-marshalu-zhukovu-g-k/
Памятник Иосифу Бродскому,https://um.mos.ru/monuments/pamyatnik-iosifu-brodskomu/
Памятник офицерам,https://um.mos.ru/monuments/pamyatnik-ofitseram/
Памятник Коровьеву и Бегемоту,https://um.mos.ru/monuments/pamyatnik-korovevu-i-begemotu/
Памятник Ю.А. Гагарину,https://um.mos.ru/monuments/pamyatnik-yu-a-gagarinu/
Утка и утята,https://um.mos.ru/monuments/utka-utyata/
Добрый ангел мира,https://um.mos.ru/monuments/dobryy-angel-mira/
Памятник Георгию Победоносцу,https://um.mos.ru/monuments/pamyatnik-georgiyu-pobedonostsu/
Памятник Н.В. Гоголю,https://um.mos.ru/monuments/n-v-gogolyu/
Памятник А.С. Грибоедову,https://um.mos.ru/monuments/pamyatnik-a-s-griboedovu/
Памятник Фритьофу Нансену,https://um.mos.ru/monuments/pamyatnik-fritofu-nansenu/
Памятник Ф.М. Достоевскому,https://um.mos.ru/monuments/pamyatnik-f-m-dostoevskomu/
Царь-пушка,https://um.mos.ru/monuments/tsar-pushka/
Адам и Ева,https://um.mos.ru/monuments/adam-i-eva/
«В ознаменование 300-летия российского флота»,https://um.mos.ru/monuments/pamyatnik-petru-pervomu/
Монумент «Покорителям космоса»,https://um.mos.ru/monuments/monument-v-chest-pokoriteley-kosmosa-s-pamyatnikom-k-e-tsiolkovskomu/
Памятник в память о жертвах трагедии в Беслане,https://um.mos.ru/monuments/pamyatnik-v-pamyat-o-zhertvakh-tragedii-v-beslane/
Братья Иоанникий и Софроний Лихуды,https://um.mos.ru/monuments/bratya-ioannikiy-i-sofroniy-likhudy/
Семиметровый автомобиль,https://um.mos.ru/monuments/semimetrovyy-avtomobil/
Памятник Владимиру Маяковскому,https://um.mos.ru/monuments/pamyatnik-vladimiru-mayakovskomu/
Принцесса Турандот,https://um.mos.ru/monuments/printsessa-turandot/
Памятник К.А. Тимирязеву,https://um.mos.ru/monuments/pamyatnik-k-a-timiryazevu/
Влюбленные улитки,https://um.mos.ru/monuments/vlyublennye-ulitki/
Памятник М.Ю. Лермонтову,https://um.mos.ru/monuments/m-yu-lermontovu/
Глобус планеты Земля и глобус Вселенной,https://um.mos.ru/monuments/globus-planety-zemlya-i-globus-vselennoy/
Памятник Осипу Мандельштаму,https://um.mos.ru/monuments/pamyatnik-osipu-mandelshtamu/
Памятник Солнечной системе,https://um.mos.ru/monuments/pamyatnik-solnechnoy-sisteme/
Отдыхающий Пушкин,https://um.mos.ru/monuments/otdykhayushchiy-pushkin/
"ВГИКОВЦАМ Андрею Тарковскому, Геннадию Шпаликову, Василию Шукшину",https://um.mos.ru/monuments/vgikovtsam-andreyu-tarkovskomu-gennadiyu-shpalikovu-vasiliyu-shukshinu/
Памятник святым Евдокии Московской и Дмитрию Донскому  с детьми,https://um.mos.ru/monuments/pamyatnik-svyatym-evdokii-moskovskoy-i-dmitriyu-donskomu-s-detmi/
Памятник Ленину - гимназисту,https://um.mos.ru/monuments/pamyatnik-leninu-gimnazistu/
Памятник П.И. Чайковскому,https://um.mos.ru/monuments/pamyatnik-p-i-chaykovskomu/
Памятник Марине Цветаевой,https://um.mos.ru/monuments/marine-tsvetaevoy/
Лента Мёбиуса,https://um.mos.ru/monuments/lenta-myebiusa/
Памятник Л.Н. Толстому,https://um.mos.ru/monuments/pamyatnik-l-n-tolstomu-12135/
Памятник Сергею Есенину,https://um.mos.ru/monuments/pamyatnik-sergeyu-eseninu/
Памятник В.И. Ленину,https://um.mos.ru/monuments/pamyatnik-v-i-leninu/
Памятник сантехнику,https://um.mos.ru/monuments/pamyatnik-santekhniku/
Памятник Олимпийскому Мишке,https://um.mos.ru/monuments/pamyatnik-olimpiyskomu-mishke/
Памятник дружбе народов России и Грузии,https://um.mos.ru/monuments/pamyatnik-druzhbe-narodov-rossii-i-gruzii/
Мойдодыр,https://um.mos.ru/monuments/moydodyr/
Кони Яндекса,https://um.mos.ru/monuments/koni-yandeksa/
Памятник Ивану Ярыгину,https://um.mos.ru/monuments/pamyatnik-yaryginu-ivanu-sergeevichu/
Памятник российской интеллигенции,https://um.mos.ru/monuments/pamyatnik-rossiyskoy-intelligentsii/
Памятник яйцу,https://um.mos.ru/monuments/pamyatnik-yaytsu/
Стена Цоя,https://um.mos.ru/monuments/stena-tsoya/
Памятник Патриарху Гермогену,https://um.mos.ru/monuments/pamyatnik-patriarkhu-ermogenu/
Мемориал жертвам «Норд-Оста»,https://um.mos.ru/monuments/memorial-zhertvam-nord-osta/
Мальчиш-Кибальчиш,https://um.mos.ru/monuments/malchish-kibalchish/
"Волк, охраняющий крест",https://um.mos.ru/monuments/volk-okhranyayushchiy-krest/
Обелиск в честь 300-летия воцарения Дома Романовых,https://um.mos.ru/monuments/obelisk-v-chest-300-letiya-votsareniya-doma-romanovykh/
Памятник Ленину и Крупской,https://um.mos.ru/monuments/pamyatnik-leninu-i-krupskoy/
Собака Лайка,https://um.mos.ru/monuments/sobaka-layka/
Москва-Петушки,https://um.mos.ru/monuments/moskvapetushki/
Памятник Доценту,https://um.mos.ru/monuments/pamyatnik-dotsentu/
Памятник Б. Окуджаве,https://um.mos.ru/monuments/pamyatnik-b-okudzhave/
Памятник Никколо Макиавелли,https://um.mos.ru/monuments/pamyatnik-nikkolo-makiavelli/
Карандаш с Кляксой,https://um.mos.ru/monuments/karandash-s-klyaksoy/
Памятник Берлинской стене,https://um.mos.ru/monuments/pamyatnik-berlinskoy-stene/
Стратонавты,https://um.mos.ru/monuments/stratonavty/
Ленин на колесах,https://um.mos.ru/monuments/lenin-na-kolesakh/
Памятник Кириллу и Мефодию,https://um.mos.ru/monuments/pamyatnik-kirillu-i-mefodiyu/
Сезонник,https://um.mos.ru/monuments/sezonnik/
Обелиск у Кутузовской избы,https://um.mos.ru/monuments/obelisk-u-kutuzovskoy-izby/
Памятник А.Н. Радищеву,https://um.mos.ru/monuments/pamyatnik-a-n-radishchevu/
