Name,Link
Большая Грузинская улица,https://um.mos.ru/places/bolshaya-gruzinskaya-ulica/
Трифоновская улица,https://um.mos.ru/places/trifonovskaya-ulica/
Каток в саду имени Баумана,https://um.mos.ru/places/katok-v-sadu-imeni-baumana/
Красная площадь,https://um.mos.ru/places/krasnaya_ploshchad/
ВСХВ-ВДНХ,https://um.mos.ru/places/vskhv_vdnkh/
Тверская улица,https://um.mos.ru/places/tverskaya_ulitsa/
Никольская улица,https://um.mos.ru/places/nikolskaya_ulitsa/
Улица Арбат,https://um.mos.ru/places/ulitsa_arbat/
Нескучный сад,https://um.mos.ru/places/neskuchnyy_sad/
Усадьба Царицыно,https://um.mos.ru/places/usadba_tsaritsyno/
Воробьёвы горы,https://um.mos.ru/places/vorobyevy_gory/
Лефортовский парк,https://um.mos.ru/places/lefortovskiy_park/
Новоспасский пруд,https://um.mos.ru/places/novospasskiy-prud/
Пруд Керкова,https://um.mos.ru/places/prud-kerkova/
Москва-Сити,https://um.mos.ru/places/moskva-siti/
Парк «Пальмира»,https://um.mos.ru/places/park-palmira/
Парк «Четыре стихии»,https://um.mos.ru/places/park-chetyre-stikhii/
"""Новый Воздушный Сад"" садового мастера К.С. Унгебауера",https://um.mos.ru/places/novyy-vozdushnyy-sad-sadovogo-mastera-k-s-ungebauera/
Народный парк «Дубрава»,https://um.mos.ru/places/narodnyy-park-dubrava/
Нижний Кисловский переулок,https://um.mos.ru/places/nizhniy-kislovskiy-pereulok/
Воздушный сад,https://um.mos.ru/places/vozdushnyy-sad/
Улица Новый Арбат,https://um.mos.ru/places/ulitsa_novyy_arbat/
Сквер Дивизий Московского Народного Ополчения,https://um.mos.ru/places/skver-diviziy-moskovskogo-narodnogo-opolcheniya/
Парк «Березовая роща»,https://um.mos.ru/places/park-berezovaya-roshcha/
Улица Остоженка,https://um.mos.ru/places/ulitsa_ostozhenka/
Измайловский парк,https://um.mos.ru/places/izmaylovskiy_park/
Улица Пречистенка,https://um.mos.ru/places/ulitsa_prechistenka/
Площадь Покровские ворота,https://um.mos.ru/places/pokrovskie_vorota/
Захарьинская улица,https://um.mos.ru/places/zakharinskaya-ulitsa/
Проезд Серебрякова,https://um.mos.ru/places/proezd-serebryakova/
Улица Милашенкова,https://um.mos.ru/places/ulitsa-milashenkova/
Улица Комдива Орлова,https://um.mos.ru/places/ulitsa-komdiva-orlova/
Улица Кузнецкий мост,https://um.mos.ru/places/kuznetskiy_most_/
Мясницкая улица,https://um.mos.ru/places/myasnitskaya_ulitsa/
Тверской бульвар,https://um.mos.ru/places/tverskoy_bulvar/
Улица Молодцова,https://um.mos.ru/places/ulitsa-molodtsova/
Улица Докукина,https://um.mos.ru/places/ulitsa-dokukina/
Улица летчика Спирина,https://um.mos.ru/places/ulitsa-letchika-spirina/
Александровский сад,https://um.mos.ru/places/aleksandrovskiy_sad/
Пятницкая улица,https://um.mos.ru/places/pyatnitskaya_ulitsa/
Замоскворечье,https://um.mos.ru/places/zamoskvoreche/
Столешников переулок,https://um.mos.ru/places/stoleshnikov_pereulok_/
Улица Бориса Галушкина,https://um.mos.ru/places/ulitsa-borisa-galushkina/
Улица Годовикова,https://um.mos.ru/places/ulitsa-godovikova/
Улица Бочкова,https://um.mos.ru/places/ulitsa-bochkova/
Сретенка,https://um.mos.ru/places/sretenka/
Хамовники,https://um.mos.ru/places/khamovniki/
Улица Инессы Арманд,https://um.mos.ru/places/ulitsa-inessy-armand/
Улица Генерала Артемьева,https://um.mos.ru/places/ulitsa-generala-artemeva/
Швивая горка,https://um.mos.ru/places/shvivaya_gorka/
Театральная площадь,https://um.mos.ru/places/teatralnaya_ploshchad/
Улица Варварка,https://um.mos.ru/places/ulitsa_varvarka/
Проспект Маршала Жукова,https://um.mos.ru/places/prospekt-marshala-zhukova/
Улица Героев Панфиловцев,https://um.mos.ru/places/ulitsa-geroev-panfilovtsev/
Лефортово,https://um.mos.ru/places/lefortovo/
Улица Зенитчиков,https://um.mos.ru/places/ulitsa-zenitchikov/
Улица Фомичевой,https://um.mos.ru/places/ulitsa-fomichevoy/
Манежная площадь,https://um.mos.ru/places/manezhnaya_ploshchad/
Цветной бульвар,https://um.mos.ru/places/tsvetnoy_bulvar/
Триумфальная площадь,https://um.mos.ru/places/triumfalnaya_ploshchad/
Большая Ордынка,https://um.mos.ru/places/bolshaya_ordynka/
Улица Маросейка,https://um.mos.ru/places/ulitsa_maroseyka/
Камергерский переулок,https://um.mos.ru/places/kamergerskiy_pereulok/
Улица Маршала Рыбалко,https://um.mos.ru/places/ulitsa-marshala-rybalko/
Улица Старая Басманная,https://um.mos.ru/places/ulitsa_staraya_basmannaya/
Центральный парк культуры и отдыха имени М. Горького,https://um.mos.ru/places/tsentralnyy_park_kultury_i_otdykha_im_gorkogo/
Большая Никитская улица,https://um.mos.ru/places/bolshaya_nikitskaya_ulitsa/
Главный ботанический сад Российской Академии наук им. Цицина,https://um.mos.ru/places/glavnyy_botanicheskiy_sad_rossiyskoy_akademii_nauk_im_tsitsina/
Улица Маршала Соколовского,https://um.mos.ru/places/ulitsa-marshala-sokolovskogo/
Улица Спиридоновка,https://um.mos.ru/places/ulitsa_spiridonovka/
Парк Трубецких в Хамовниках,https://um.mos.ru/places/park_trubetskikh_v_khamovnikakh/
Петровский парк,https://um.mos.ru/places/petrovskiy_park/
Таганский детский парк им. Н.Н. Прямикова,https://um.mos.ru/places/taganskiy_detskiy_park_im_n_n_pryamikova/
Улица Покровка,https://um.mos.ru/places/ulitsa_pokrovka/
Старая площадь,https://um.mos.ru/places/staraya_ploshchad/
Улица Паршина,https://um.mos.ru/places/ulitsa-parshina/
Улица Маршала Новикова,https://um.mos.ru/places/ulitsa-marshala-novikova/
Улица Ильинка,https://um.mos.ru/places/ulitsa_ilinka/
Улица Маршала Прошлякова,https://um.mos.ru/places/ulitsa-marshala-proshlyakova/
Завод Цинделя в Дербенях,https://um.mos.ru/places/zavod_tsindelya_v_derbenyakh/
Парк Сокольники,https://um.mos.ru/places/park_sokolniki/
Поварская улица,https://um.mos.ru/places/povarskaya_ulitsa/
Сад «Эрмитаж»,https://um.mos.ru/places/sad_ermitazh_/
Улица Воздвиженка,https://um.mos.ru/places/ulitsa_vozdvizhenka/
Моховая улица,https://um.mos.ru/places/mokhovaya_ulitsa/
Улица Рождественка,https://um.mos.ru/places/ulitsa_rozhdestvenka_/
Улица Солянка,https://um.mos.ru/places/ulitsa_solyanka/
Покровский бульвар,https://um.mos.ru/places/pokrovskiy_bulvar/
Неглинная улица,https://um.mos.ru/places/neglinnaya_ulitsa_/
Тверская площадь,https://um.mos.ru/places/tverskaya_ploshchad/
Никитский бульвар,https://um.mos.ru/places/nikitskiy_bulvar/
Трубная площадь,https://um.mos.ru/places/trubnaya_ploshchad/
Усадьба Знаменское-Садки,https://um.mos.ru/places/usadba_znamenskoe_sadki/
Большой Харитоньевский переулок,https://um.mos.ru/places/bolshoy_kharitonevskiy_pereulok/
Усадьба Петровское-Разумовское,https://um.mos.ru/places/usadba_petrovskoe_razumovskoe/
Нагатинская набережная,https://um.mos.ru/places/nagatinskaya-naberezhnaya/
Чистопрудный бульвар,https://um.mos.ru/places/chistoprudnyy_bulvar/
Таганский район,https://um.mos.ru/places/taganskiy_rayon/
Преображенка,https://um.mos.ru/places/preobrazhenka/
Площадь Красные ворота,https://um.mos.ru/places/ploshchad_krasnye_vorota/
Улица Воронцово Поле,https://um.mos.ru/places/ulitsa_vorontsovo_pole/
Детский Черкизовский парк,https://um.mos.ru/places/detskiy-cherkizovskiy-park/
Михайловский сад,https://um.mos.ru/places/mikhaylovskiy_sad/
Улица Большая Лубянка,https://um.mos.ru/places/ulitsa_bolshaya_lubyanka/
Гончарная улица,https://um.mos.ru/places/goncharnaya_ulitsa/
Пушкинская площадь,https://um.mos.ru/places/pushkinskaya_ploshchad/
Коломенская набережная,https://um.mos.ru/places/kolomenskaya-naberezhnaya/
Усадьба Свиблово,https://um.mos.ru/places/usadba_sviblovo/
Улица Большая Бронная,https://um.mos.ru/places/ulitsa_bolshaya_bronnaya/
Сретенский бульвар,https://um.mos.ru/places/sretenskiy_bulvar/
Улица Лескова,https://um.mos.ru/places/ulitsa-leskova/
Улица Большая Полянка,https://um.mos.ru/places/ulitsa_bolshaya_polyanka/
Девичье Поле,https://um.mos.ru/places/deviche_pole/
Проспект Академика Сахарова,https://um.mos.ru/places/prospekt_akademika_sakharova/
Хитровская площадь,https://um.mos.ru/places/khitrovskaya_ploshchad_/
Страстной бульвар,https://um.mos.ru/places/strastnoy_bulvar/
Улица Петровка,https://um.mos.ru/places/ulitsa_petrovka_/
Морозовский сад,https://um.mos.ru/places/morozovskiy_sad/
Таганская площадь,https://um.mos.ru/places/taganskaya_ploshchad/
Рождественский бульвар,https://um.mos.ru/places/rozhdestvenskiy_bulvar_/
Коломенское,https://um.mos.ru/places/kolomenskoe/
Большая Якиманка,https://um.mos.ru/places/bolshaya_yakimanka/
Большая Садовая улица,https://um.mos.ru/places/bolshaya_sadovaya_ulitsa/
Улица Волхонка,https://um.mos.ru/places/ulitsa_volkhonka/
Николоямская улица,https://um.mos.ru/places/nikoloyamskaya_ulitsa/
Тверской район,https://um.mos.ru/places/tverskoy_rayon/
Сад «Аквариум»,https://um.mos.ru/places/sad_akvarium/
Хохловская площадь,https://um.mos.ru/places/khokhlovskaya_ploshchad/
Рыбный переулок,https://um.mos.ru/places/rybnyy-pereulok/
Парк «Музеон»,https://um.mos.ru/places/park_muzeon/
Гоголевский бульвар,https://um.mos.ru/places/gogolevskiy_bulvar/
Набережная Шитова,https://um.mos.ru/places/naberezhnaya-shitova/
Новокузнецкая улица,https://um.mos.ru/places/novokuznetskaya_ulitsa/
Новая площадь,https://um.mos.ru/places/novaya_ploshchad/
Басманный район,https://um.mos.ru/places/basmannyy_rayon/
Софийская набережная,https://um.mos.ru/places/sofiyskaya_naberezhnaya/
Район Якиманка,https://um.mos.ru/places/rayon_yakimanka/
Театральный проезд,https://um.mos.ru/places/teatralnyy-proezd/
Пресненский район,https://um.mos.ru/places/presnenskiy_rayon/
Парк «Отрадное»,https://um.mos.ru/places/park-otradnoe/
Кадашевская слобода,https://um.mos.ru/places/kadashevskaya_sloboda/
Арбатская площадь,https://um.mos.ru/places/arbatskaya_ploshchad/
Улица Малая Ордынка,https://um.mos.ru/places/ulitsa_malaya_ordynka/
