Category,Name,Geo,Info,SourceLink
houses,Фреска «Народное гуляние в Киеве» на станции метро «Киевская»,площадь Киевского Вокзала,"Станция метро «Киевская» на Арбатско-Покровской линии была открыта 5 апреля 1953 года. Она является частью участка «Киевская» – «Площадь Революции». Проект станции был разработан группой архитекторов под руководством Л.В. Лилье, В.А. Литвинова, М.Ф. Марковского, И.Г. Таранова, В.М. Добраковского и Г.С. Тосунова. Главным мотивом художественного оформления станции было 300-летие воссоединения Украины с Россией, отмечавшееся в 1954 году, дружба украинского и русского народов, а также счастливая жизнь трудящихся советской Украины.
Фреска «Народное гуляние в Киеве», созданная в стиле социалистического реализма, украшает торец центрального зала станции. Это живописное панно, изображающее радостное народное гуляние, стало центральным элементом оформления станции.
Реставрационные работы на станции «Киевская» и фрески «Народное гуляние в Киеве» проводились несколько раз. Впервые фреска пострадала в 1960 году из-за грунтовых вод, которые привели к повреждению штукатурного слоя. В 1973 году была проведена частичная реставрация, однако проблемы с гидроизоляцией не были полностью решены.
Серьёзные повреждения фреска получила в октябре 2010 года, когда протечки грунтовых вод вызвали обрушение штукатурного слоя панно. В результате обрушения сохранились лишь небольшие фрагменты общей площадью чуть более 4 квадратных метров. Для проведения полноценной реставрации потребовалось отведение грунтовых вод, укрепление конструкции стены и тщательная гидроизоляция.
Для восстановления изображения использовались фотографии 1954 года, найденные в фототеке Государственного музея архитектуры имени А.В. Щусева, а также кадры из фильмов 1970-х годов. Эти материалы были переведены в электронный формат и использованы для восстановления первоначальной цветовой гаммы и композиции. Процесс реставрации длился около полугода и включал использование современных минеральных красок на основе жидкого стекла, что позволило создать покрытие, устойчивое к внешним воздействиям и способное выдерживать влажные условия подземного сооружения.
Реставраторы тщательно восстановили утраченные элементы, включая фигуру мужчины с бородой, которая была закрашена во время предыдущих обновлений, и вернули оригинальный цвет одежде персонажей панно. Все работы проводились в условиях повышенной сложности, так как станция продолжала работать.
Проект реставрации стал лауреатом конкурса ""Московская реставрация — 2013"".
Сегодня фреска «Народное гуляние в Киеве» продолжает украшать станцию «Киевская», являясь примером богатом художественном наследии.",https://um.mos.ru/houses/freska-narodnoe-gulyanie-v-kieve-na-stancii-metro-kievskaya/
houses,Театр на Малой Ордынке,"ул. Малая Ордынка, д.31, стр.1","Малая Ордынка — одна из старейших улиц исторического Замоскворечья. Здание, построенное по проекту Ивана Кондакова, где сейчас располагается Театр на Малой Ордынке, выполнено в стиле модерн и отличается изысканными архитектурными деталями и гармоничными пропорциями.
Дом был построен в 1912 году для «Товарищества Учительского института», в котором подготавливались школьные учителя. Институт, здание которого было построено неподалеку, на Большой Полянке, просуществовал 45 лет, и в нем получили образование сотни учителей, которые затем уехали преподавать в разные города нашей страны. Средства на строительство здания для Товарищества собирали по всей стране, продавая открытки с видами памятников и изображениями произведений мирового искусства. Большую часть средств на возведение дома всё же предоставили благотворители, а не открытки. Но сумма сбора от их продаж позволила купить библиотеку и меблировку для этого учреждения.
Торжественное открытие «Учительского дома» состоялось 12 января 1912 года. Сценическая площадка дома Товарищества была оборудована по последнему слову техники так, что бенефисные спектакли Малого театра часто повторялись на «учительской площадке».
В середине XX века в здании на Малой Ордынке был расположен военкомат Москворецкого района Москвы, а затем в 70-80-е годы — оркестр при клубе Первой образцовой типографии имени Андрея Жданова. В самой типографии печатались издания классиков русской литературы, «Всеобщий русский календарь», отрывные календари, учебники, а в 1920-26 гг. — первое собрание сочинений В.И. Ленина. В 1990-х в здании располагалось Электромонтажное училище, а затем - клуб завода «Гознак» и «Театр Комедии».
С 2004 года здание Театра на Малой Ордынке стало важной частью культурной жизни Москвы. Сегодня спектакли Театра на Малой Ордынке идут на двух сценах. Зрительский зал Большой сцены представлен в виде амфитеатра с балконами по периметру и рассчитан на 344 места. Рядом с залом расположен просторный буфет, в фойе зрители могут увидеть анонсы репертуарных спектаклей, фотографии труппы и инсталляцию с персонажами из «Маленького принца», которая располагается между двумя этажами.
Малая сцена представляет собой черный зал-трансформер с камерным фойе. При театре многие годы работает Детский театральный центр, где дети изучают актерское мастерство и другие дисциплины. Впоследствии выпускники поступают в лучшие театральные вузы страны.
В 2022 году художественным руководителем был назначен народный артист России Евгений Герасимов. Театр на Малой Ордынке ставит перед собой задачу сохранения русской культуры, русских театральных традиций, сотворчества и диалога со зрителем, а также поиска новых современных историй и форм их подачи. Сохранение архитектурного наследия и адаптация его к современным реалиям также является важной задачей для руководства.",https://um.mos.ru/houses/teatr-na-maloy-ordynke/
houses,Павильон станции метро «Красные ворота»,"Боярский пер., 1","В 1933–1934 годах, параллельно с прокладкой трассы, инженерными и геологическими изысканиями, были проведены и архитектурные конкурсы на проекты перронных залов и наземных павильонов 13 станций первой очереди метро. Реальное строительство метро происходило в 1934–1935 годах и совпало с резким стилистическим поворотом от авангарда к декоративной архитектуре в советском искусстве.
Из всех построек, сделанных для системы метрополитена в период до конца 1950-х годов, только наземный павильон станции «Красные ворота» выглядит современно и лишен каких-либо ассоциативных связей с исторической архитектурой или прямых заимствований из нее. Это бетонный раструб-ракушка, визуально замыкающий створ Новой Басманной улицы. Его авторНиколай Ладовский. В 1920-е годы он был лидером группировки АСНОВА - Ассоциации новых архитекторов, называвших себя рационалистами, творческих оппонентов конструктивистов. Н. Ладовский утверждал принципы поиска сверхвыразительной формы, не отягощенной накладным декором, но в тоже время очень монументальной и динамичной.
С начала Ладовский спроектировал подземный вестибюль станции «Дзержинская» (сейчас «Лубянка») с двумя параллельными тоннелями перронных залов, но без центрального нефа. Это совсем не характерно для Москвы, но типично, к примеру, для Лондона. От облика той станции до наших дней дошли только фрагменты отделки стен у выходов, остальное было утрачено, когда сделали центральный неф и устроили там пересадку на другую линию. Наземный павильон станции в виде двух полуциркульных арок был сделан Д.Ф. Фридманом, а Ладовскому достался другой павильон — на станции «Красные ворота». Павильон станции «Красные Ворота» решен в виде остекленного параллелепипеда, скрытого со стороны площади раструбом из концентрических бетонных арок. Образуя центрическую композицию, эти арки вовлекают пассажиров в подземное пространство. Четкие полукружья арок придают крупный масштаб и монументальность очищенной от лишних декоративных деталей «ракушке». Возможно, автор хотел напомнить о стоявших на той же площади барочных Красных Воротах елизаветинского времени, построенных знаменитым архитектором Дмитрием Ухтомским, снесенных в 1928 году.
Подземное пространство перронного зала станции было решено совсем по-другому, в строгом классическом стиле. Проектировавший подземную часть станцииакадемик Иван Фоминсделал массивные пилоны, несущие своды перронного зала, прорезал арочной нишей, облицованной камнем темно-красного цвета.",https://um.mos.ru/houses/pavilon_stantsii_metro_krasnye_vorota/
houses,Дом Перцова,"Курсовой пер., дом 1","Началось все, впрочем, с другого дома. «Дом-ларец» построил на Пречистенской набережной коллекционер картин Цветков. Соревнуясь сбратьями Третьяковымиза известность, он даже уволил своего архитектора, нанявВаснецова, когда узнал, что Третьяковы строят особняк по васнецовским эскизам. «Дом-ларец» размерами уступал Третьяковской галерее, но имел чудный вид на Москву-реку, Кремль и Храм Христа-Спасителя.Этот вид заворожил инженера путей сообщения Петра Николаевича Перцова. Цветков предложил указать еще лучшее место при условии, что Перцов выстроит дом в русском стиле. Тот согласился и при содействии Цветкова приобрел участок рядом. Перцов объявил закрытый конкурс на составление проекта «доходного дома в русском стиле». В жюри - самые именитые: Васнецов, Суриков, Поленов, Шехтель. Но в итоге сам Перцов остановился на проектеМалютина(автора росписи первой русской матрешки), занявшем 2 место.Дом был построен в течение 11 месяцев - совсем небольшой срок, учитывая резные лестницы, изразцовые майоликовые печи, витражи, спальни с нишами и курительные комнаты в восточном стиле, для отделки которых выписывались кустари из Нижегородской губернии. Как и у всех доходных домов, при великолепной отделке фасада здания с дорогими квартирами, задняя часть дома, куда выходят окна дешевых квартир, проста и незатейлива.
Перцов прожил в своем доме 15 лет. Он был одним из хранителей ценностей Храма Христа Спасителя, выступал в защиту церкви и в 1922 году по процессу «церковников» получил 5 лет тюрьмы. Перцов вышел на свободу через год, но из дома его выселили. Дом был национализирован.
Сейчас в здании располагается Управление делами дипломатического корпуса.",https://um.mos.ru/houses/dom_pertsova/
houses,Особняк Рябушинского,"Малая Никитская ул., дом 6/2, строение 5","Особняк был выстроен в 1900-1903 годах по заказу банкира и фабриканта С.П. Рябушинского. Степан Павлович был также большим любителем и знатоком искусства, поэтому строительство дома было поручено его близкому другу - архитектору Ф. Шехтелю, который полностью спроектировал здание и создал его интерьеры.
Особняк Рябушинского является ярким образцом модерна. Каждый фасад отличается своим неповторимым обликом. По законам стиля, пространство развивается изнутри наружу: планировка интерьеров обуславливает асимметрию внешних стен здания. Здесь преобладают массивный кубический объем, контраст изгибов и строгих линий.
Фриз и фасад здания облицованы глазурованным кирпичом и мозаикой. Оплывшие формы наружных порталов и крылец вместе с узорами оконных рам и ограды предвещают плавность форм внутреннего пространства.
Интерьеры дома спланированы рационально, внутреннее пространство используется с экономией и расширяется при помощи витражей. Композиция помещений группируется вокруг парадной большой лестницы-волны.
Сочетая специфику модерна и учитывая интересы хозяев, Ф. Шехтель создал мир образов с общей тематикой водной стихии: лестница-волна – символ вечного движения жизни, лилии и саламандры на капители колонны у тайной старообрядческой молельни – символ борьбы добра со злом и т.д.
В декоре использовано множество растительных узоров, изображений насекомых, животных надводного и подводного мира: черепахи, медузы, морские коньки, ракушки и др. Окно вестибюля украшено витражами в виде огромного крыла бабочки, мозаика пола изображает водную зыбь, рельеф лепнины напоминает подернутый ряской пруд с нерасторопной улиткой. Парные торшеры в виде крыльев стрекозы с витражной частью образуют своеобразную ширму-перегородку между входной зоной и остальными помещениями дома.
В этом доме С.П. Рябушинский держал знаменитую реставрационную мастерскую икон. В 1917 году Рябушинским пришлось эмигрировать, часть собрания старообрядческих икон была передана в Третьяковскую галерею.
С 1919 года здесь располагался Госиздат, с 1925 по 1931 — Всесоюзное Общество культурных связей с заграницей. Какое-то время здесь был даже детский сад, в который ходил Василий Сталин. В 1931 году Сталин предоставил особняк в распоряжение Максима Горького.
В 1965 году, здесь открылся посвященный писателю музей, который можно посетить и сегодня.",https://um.mos.ru/houses/osobnyak_ryabushinskogo/
houses,Дом Пашкова,"ЦАО, Воздвиженка ул., дом 3/5, строение 1","


",https://um.mos.ru/houses/dom_pashkova/
houses,«Рабочий и колхозница»,"Мира просп., дом 123Б","Впервые мир увидел произведение скульптора на Международной выставке в Париже 1937 года. Огромная, сильная и вместе с тем необычайно легкая, скульптура была сооружена на павильоне Советского Союза, построенного по проекту архитектора Б.М. Иофана. Юноша и девушка держат высоко над головой символы труда – серп и молот. Ткань юбки и шарф развеваются на ветру подобно алому стягу – герою советских парадов и демонстраций.
В 1937 году Вера Игнатьевна Мухина приняла участие в конкурсе на скульптуру для павильона СССР. Вместе с ней в конкурсе участвовали В.А. Андреев, М.С. Манизер и И.Д. Шадр.
Советский павильон был задуман как символ, отражающий рост достижений молодой страны. Нарастающими уступами здание поднималось ввысь и венчалось «мощной скульптурной группой». Таков был замысел архитектора. Скульптура должна была подчеркнуть динамику и мощность здания, не задавив его.
«Группа должна была рисоваться четким ажуром на фоне неба», - вспоминала В.Мухина.
Скульптура Мухиной была признана лучшей. «Рабочий и Колхозница» в ее исполнении стали единым целым со зданием, задуманным Иофаном.
Прекрасным решением оказался шарф в руках Колхозницы, подчеркнувший горизонтальное движение павильона. Развевающееся от встречного ветра полотнище, руки, откинутые назад, объединяли скульптурную композицию с пьедесталом, со зданием павильона. Однако именно шарф стал поводом для придирок комиссии и волнений скульптора. Слишком необычной деталью одежды был он для простой трудящейся женщины. Но без него группа теряла горизонтальную линию, переставала быть динамичной.
Вся композиция была сделана из нового тогда материала - хромоникелевой стали. Части скульптуры выколачивались на деревянных шаблонах, а потом сваривались и крепились на мощном балочном каркасе-скелете. Это было новое слово в скульптуре. За воплощение скульптуры в новом материале отвечал инженер Центрального научно-исследовательского института машиностроения П.И. Львов. И он прекрасно справился со своей задачей.
На выставке в Париже скульптура Мухиной имела огромный успех. Фотографии статуи печатали все ведущие газеты, ее копии повторили на множестве сувениров выставки.

",https://um.mos.ru/houses/rabochiy-i-kolkhoznitsa/
houses,Большой театр,"Театральная пл., дом 1","Принято считать, что Большой театр был основан в марте 1776 года, когда известный меценат, московский прокурор князь Петр Урусов получил высочайшее позволение ""содержать ... театральные всякого рода представления"". Урусов и его компаньон Михаил Медокс создали в Москве первую постоянную труппу.
Первоначально театр не имел собственного здания и чаще всего давал представления в доме Воронцова на Знаменке. Но уже в 1780 году по проекту Х.Розберга на средства Медокса было построено специальное каменное здание на месте современного Большого театра. По названию улицы, на которой находился театр, он стал именоваться ""Петровским"".
Репертуар этого первого профессионального театра Москвы составили драматические, оперные и балетные спектакли. Особым вниманием пользовались оперы, поэтому ""Петровский театр"" чаще называли ""Оперным домом"". В 1805 году здание сгорело, и до 1825 года спектакли вновь ставились на разных площадках.
В 1820-е годы площадь перед бывшим Петровским театром была реконструирована. По замыслу архитектора Осипа Бове здесь появился целый классический ансамбль, доминантой которого стало здание Большого театра (1824 г.). Оно частично включало стены сгоревшего Петровского театра.
Восьмиколонное здание в классическом стиле с колесницей бога Аполлона над портиком, декорированное внутри в красно-золотых тонах, по признанию современников, было лучшим театром в Европе и по масштабам уступало только миланскому ""Ла Скала"". Открылся он 6 (18) января 1825 года.
Но и этот театр постигла участь предшественника: 11 марта 1853 года по неизвестной причине в театре начался пожар. Погибли костюмы, декорации, архив труппы, часть нотной библиотеки, редкие музыкальные инструменты, пострадало и само здание.
Его восстановлением руководил Альберт Кавос. Он принял за основу объемно-пространственную структуру Бове, но увеличил высоту здания, изменил пропорции и переработал декор; по бокам появились чугунные галереи с лампами. Кавос изменил форму и размер главного зрительного зала, который стал вмещать до 3 тысяч человек. Алебастровая группа Аполлона, украшавшая театр Бове, погибла в пожаре. Для создания новой Кавос пригласил известного русского скульптора Петра Клодта, автора знаменитых конных групп на Аничковом мосту через реку Фонтанку в Петербурге. Клодт создал известную ныне на весь мир скульптурную группу с Аполлоном.
Новый Большой театр был отстроен за 16 месяцев и открыт 20 августа 1856 года к коронации Александра II.
Последний спектакль Императорского Большого театра состоялся 28 февраля 1917 г. И уже 13 марта открылся Государственный Большой театр.
В 1920-х гг. ""Большой"" становится площадкой Всероссийских съездов Советов, заседаний ВЦИК, конгрессов Коминтерна, однако сохраняет за собой право функционировать по назначению. Осенью 1941 г. в здание Большого театра попала бомба. Взрывная волна прошла наискось между колоннами портика, пробила фасадную стену и произвела значительные разрушения в вестибюле. Зимой 1942 г. начались восстановительные работы, а осенью 1943 г. театр возобновил свою деятельность.
В конце XX века необходимость в проведении реставрационных работ стала критической, и Правительство страны приняло решение о реконструкции здания. Работы длились на протяжении 6 лет с 2005 по 2011 гг. Специалисты сохранили исторический облик театра и вместе с тем усовершенствовали его техническое состояние.
Сейчас Большой театр является главной культурной доминантой столицы.",https://um.mos.ru/houses/bolshoy_teatr/
houses,Дом Арсения Морозова,"ЦАО, Воздвиженка ул., дом 16, строение 1","
Как уверяет молва, младший сын Морозовой Арсений, побывав в гостях у брата, заявил, что поручит создать для него самый необычный дом в Москве.«Вот ты, Миша, собираешь свои коллекции, с которыми еще неизвестно что потом будет... Мой же дом будет стоять вечно». С этих слов и началась жизнь дома на Воздвиженке.
Ранее на месте дома № 16 размещался конный цирк. И до 1892 года у владельца столь успешного предприятия Карла Маркуса Гинне была, пожалуй, одна забота, да и та, на его взгляд, пустяшная. В цирке наверху на галерее, там, где располагались самые дешевые места, царила ужасная теснота, отчего у посетителей случались обмороки. Зато пожар в упомянутом году был куда страшнее: деревянное здание сгорело фактически без остатка, и на воссоздание цирка у импрессарио средств не нашлось. Освободившийся около ее дома, участок купила Варвара Алексеевна Морозова, решив сделать подарок младшему сыну Арсению на его день рождения. Архитектором пригласили Мазырина. Тот подготовил проект дома в русском стиле, который был решительно отвергнут Арсением. Определиться же с тем, чего он хочет, будущий владелец никак не мог.
Чтобы создать «самый необычный дом в Москве», заказчик и архитектор отправились в длительное путешествие - Париж, Мадрид, Лиссабон… В поисках вдохновения путешественники приехали в португальский город Синтру - места, воспетые Байроном. Фантастически дивная природа и... замок Palacio Nacional da Pena на скале, построенный в стиле мануэлино. Витые колонны, причудливый орнамент… Мистическое, словно заколдованное место, способное остановить время. Надо ли уточнять, что на этом поиски были окончены. В 1897 году семилетняя дочь Мазырина Лида заложила первый камень в основание будущего дома - и работа закипела.
Казалось, для Мазырина не существовало препятствий. Замок в Синтре увит гроздьями винограда? В Москве вместо живого винограда появился каменный орнамент. В 1899 году строительство было окончено. На Воздвиженке появился дом, пройти мимо которого невозможно. Толстой в романе «Воскресение» напишет:
«На одной из улиц извозчик, человек средних лет, с умным и добродушным лицом, обратился к Нехлюдову и указал на огромный строящийся дом.
- Вон какой домина занесли, - сказал он, как будто он отчасти был виновником этой постройки и гордился этим.
Действительно, дом строился огромный и в каком-то сложном, необыкновенном стиле. Прочные леса из больших сосновых бревен, схваченных железными скрепами, окружали воздвигаемую постройку и отделяли ее от улицы тесовой оградой.
По подмостям лесов сновали, как муравьи, забрызганные известью рабочие: одни клали, другие тесали камень, третьи вверх вносили тяжелые и вниз спускали пустые носилки и кадушки. Толстый и прекрасно одетый господин, вероятно архитектор, стоя у лесов, что-то, указывая наверх, говорил почтительно слушающему владимирцу-рядчику. Из ворот мимо архитектора с рядчиком выезжали пустые и въезжали нагруженные подводы.
«И как они все уверены, и те, которые работают, так же как и те, которые заставляют их работать, что это так и должно быть, что, в то время как дома их брюхатые бабы работают непосильную работу и дети их в скуфеечках перед скорой голодной смертью старчески улыбаются, суча ножками, им должно строить этот глупый ненужный дворец какому-то глупому и ненужному человеку, одному из тех самых, которые разоряют и грабят их», - думал Нехлюдов, глядя на этот дом».
Дом был принят московской публикой в штыки. Разгромные статьи, злые шутки, карикатуры, дом называли образцом безвкусия. Говорят, что и Варваре Алексеевне дом не понравился, якобы она сказала сыну: «Раньше одна я знала, что ты дурак, а теперь об этом узнает вся Москва». Впрочем, сам Арсений на слухи никакого внимания не обращал, в доме закатывались грандиозные попойки, а Морозов-младший увлекся мистическими и эзотерическими науками. На доме был выточен узел из канатов - талисман благополучия и долголетия. Но с долголетием не вышло. Однажды в пьяной компании Арсений поспорил, что прострелит себе ногу и не закричит от боли, и тем докажет, что человеческая сила воли безгранична. Выстрелил, не закричал, спор выиграл да и продолжил выпивать. Кровь между тем скопилась в сапоге, произошло заражение, и в скором времени чудаковатый Арсений скончался.
Чуть позже выяснилось, что все свое имущество (четыре миллиона плюс особняк) Морозов-младший завещал не бывшей жене и дочери, а любовнице. Вдова обратилась в суд, газеты старательно описывали происходящее: «в коммерческих кругах говорят об иске в несколько миллионов рублей, вчиняемой супругой покойного г-жой Федоровой к некоей г-же Коншиной, явившейся неожиданной наследницей великолепного дворца в мавританском стиле на Воздвиженке и 4-миллионного состояния покойного». В результате выиграла любовница...


…После революции в особняке Морозова разместились анархисты. Затем поселили Пролеткульт. Первый Рабочий театр Пролеткульта, где ставили свои спектакли Эйзенштейн и Мейерхольд, был весьма своеобразным. Чтобы понять, насколько своеобразным, достаточно вспомнить «Колумб» из «Двенадцати стульев» с его колоритными героями: «Из одиннадцатого ряда, где сидели концессионеры, послышался смех. Остапу понравилось музыкальное вступление, исполненное оркестрантами на бутылках, кружках Эсмарха, саксофонах и больших полковых барабанах. Свистнула флейта, и занавес, навевая прохладу, расступился. К удивлению Воробьянинова, привыкшего к классической интерпретации «Женитьбы», Подколесина на сцене не было. Порыскав глазами, Ипполит Матвеевич увидел свисающие с потолка фанерные прямоугольники, выкрашенные в основные цвета солнечного спектра. Ни дверей, ни синих кисейных окон не было. Под разноцветными прямоугольниками танцевали дамочки в больших, вырезанных из черного картона шляпах. Бутылочные стоны вызвали на сцену Подколесина, который врезался в толпу верхом на Степане...»
",https://um.mos.ru/houses/dom_arseniya_morozova/
houses,Особняк Зинаиды Морозовой,"Спиридоновка ул., дом 17, строение 1","История этого места прослеживается с середины XVIII века. Когда-то здесь было владение, принадлежавшее Иллариону Гавриловичу Воронцову. Затем его приобрёл поэт Иван Дмитриев, которого неоднократно навещал коллега по перу,А. С. Пушкин. Затем владельцем этого земельного участка стал брат писателя Сергея Аксакова, Николай. В 1893 году владение на Спиридоновке, в качестве подарка для своей жены Зинаиды Григорьевны, приобрёлСавва Тимофеевич Морозов. Проект строительства «семейного гнезда» поручилиФёдору Шехтелю, спроектировавшему для Морозовых их дачу в Киржаче. Эстетическому вкусу Шехтеля Савва Тимофеевич безгранично доверял. Шехтель предложил Морозову несколько вариантов «внешности» будущего особняка, среди которых был и дом, стилизованный под английский неоготический замок. Англофил Морозов, два года изучавший химию в Кембридже (а также текстильное дело на английских фабриках), не раздумывая, выбрал именно этот вариант.
Строительство началось лишь осенью 1893 года. Дело в том, что начинающий архитектор Шехтель был отчислен с третьего курса Московского училища живописи, ваяния и зодчества (за прогулы) и не имел права производить какое-либо строительство в черте города. Поскольку ему было запрещено даже ставить свою подпись под авторскими чертежами, все листы (а их было порядка 600) подписывал его помощник Иван Кузнецов (будущий автор Делового двора на Славянской площади в Москве).
Для декоративного оформления дома Шехтель пригласил тогда ещё малоизвестного художникаМихаила Врубеля, в тандеме с которым скрупулёзно трудился над усадьбой целых четыре года. Строительство дома с роскошными интерьерами и удобной планировкой было полностью завершено в 1898 году.
Особняк, спроектированный Шехтелем, в прямом смысле «стоял особняком» среди привычных глазу построек XIX века. Остроконечные шпили по краям крыши, горгульи на водосточных трубах и по краям террас, стрельчатые окна. Всё это знаменовало собой торжество средневековой европейской готики в центре Москвы. Сам особняк, «смысловым центром» которого стала двухэтажная «башня-донжон», словно притаился в глубине участка. Шехтель таким образом воздаёт должное традиционной «палатной» застройке Москвы (ведь только после Петра I дома начинают возводить, как по трафарету, по красной линии улиц). Гениальный архитектор «жонглирует» объёмами не хуже фокусника в цирке. Здание предстаёт перед «зрителями», как картина в музее – в постоянно меняющихся масштабах, размерах, ракурсах, в зависимости от того, с какой точки на него смотришь. Многоликий особняк имеет не один, а сразу несколько парадных фасадов. Это становится возможным лишь благодаря новаторским приёмам, которые впоследствии станут главными инструментами модерна Шехтеля. В оформлении интерьеров, сочинением которых занимался будущий создатель «Демона» М. А. Врубель, поражает богатство внутреннего убранства и внимание к мельчайшим деталям. Именно детали позволяют представить особняк во всём его многообразии. В доме есть залы, оформленные в стиле рококо и ампира. По эскизам Врубеля также создан знаменитый витраж «Встреча рыцаря-победителя».
В 1909 году, после трагической смерти Саввы Морозова, здание было продано меценату, предпринимателю и коллекционеру живописиМ. П. Рябушинскому. Благодаря тому, что Михаил Павлович захотел немного «освежить» интерьер дома, в 1912 году в большой гостиной появились три живописных панно ещё одного выдающегося художника, Константина Богаевского. «Даль», «Солнце» и «Скала» стали настоящим украшением дома.
После революции особняк занял губернский продовольственный комитет, а с 1929 года – Наркомат иностранных дел. Уже давно в историческом здании располагается Дом приёмов МИД России. В 1995 году в особняке произошёл сильный пожар, уничтоживший существенную часть исторических интерьеров дома, однако конструкция здания практически не пострадала. Предметы интерьера были полностью восстановлены, и уже в 1996 году здесь прошла историческая встреча стран «Большой восьмёрки».
В конце 2021 года завершилась реставрация фасадов здания. Работы по восстановлению фасада шли несколько лет. Благодаря сохранившимся чертежам Фёдора Шехтеля были восстановлены витражи и мельчайшие элементы декора на балконе и террасах. Каждой огнедышащей химере, демонической горгулье и мифическому маскарону реставраторы вернули их оригинальную, первозданную «мимику». Также отреставрировали ограду, проходящую вдоль Спиридоновки. Особняк Зинаиды Морозовой стал лауреатом конкурса «Московская реставрация – 2021».
Виртуальный тур по объекту предоставлен для публикации ГлавУпДК при МИД России.",https://um.mos.ru/houses/osobnyak-zinaidy-morozovoy/
